year,month,birth_death_rate_1000,self_observasion_health_percent_20year_up,depression_feel_20year_up,trust_health_system_percent,satisfaction_health_system_percent_20year_up,avoidable_mortality_percent,complaints_total,complaints_substantiated_total,underweight_first_grade,underweight_seventh_grade,overweight_first_grade,overweight_seventh_grade,memograph_women_50_to_74,smoking_adults,hospital_beds_general_1000,hospital_beds_psychic_1000,hospital_beds_geriatric_1000,hospital_beds_rehab_1000,doctors_per_1000,nurses_per_1000,interns_israel_grad,interns_abroad_official,interns_aboard_unofficial
2015,12,3.2,84,27,75.1,,62.5,,,1.9,3.5,20.4,30.8,69.6,19.7,1.83,0.414,2.938,0.101,3,4.8,,,
2016,12,3.1,83.7,24.9,75.1,,61.9,5456,1148,2,3.6,18.5,30.2,70.4,20.6,1.803,0.413,2.868,0.098,3.1,4.8,,,
2017,12,3.1,84.2,23,76.7,,60.5,4973,1398,1.8,3.5,18.4,29.8,70.9,21.6,1.796,0.395,2.841,0.097,3.1,4.8,676,315,552
2018,12,3,84,23.8,76.4,61.3,59.5,4091,1323,1.9,3.6,18.3,30.4,72.5,20.4,1.78,0.389,2.76,0.095,3.1,4.9,648,213,371
2019,12,3,83.9,24.2,72.3,55.5,59.9,3922,1312,1.8,3.6,18.8,31.3,72.3,19.8,1.783,0.388,2.734,0.1,3.2,5,706,680,898
2020,12,2.4,86,21.6,77.5,63.8,61.6,3624,1263,1.9,3.5,20.3,31.4,70.6,20.1,1.76,0.383,2.718,0.098,3.3,5.1,732,232,553
2021,12,2.8,83.8,22.4,,66.7,63.7,3538,1417,1.9,3.7,22.1,33,72.1,20.2,1.736,0.377,2.671,0.098,3.3,5.2,739,492,702
2022,12,2.8,83.4,23,70.5,62.2,60.3,4323,1625,2.1,3.6,19.6,31.4,71.9,20.3,1.746,0.369,2.726,0.099,3.4,5.4,716,593,791
2023,12,2.7,84.2,25.5,79.2,66.7,58.4,4595,1559,2.1,3.7,17,30.6,70.5,20.4,1.746,0.367,2.794,0.103,3.5,5.5,810,835,1117
2024,12,2.5,83,33.9,81.9,69.7,59,4388,1261,1.9,3.6,17.6,30.6,72.3,20.5,1.768,0.359,2.776,0.125,,,760,932,849
2025,12,,,,,,,5273,1077,,,,,,20.5,,,,,,,831,423,726
2026,7,,,,,,,1519,288,,,,,,,,,,,,,865,489,310
